"","name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"131","CALIFORNIA MENS COLONY","California","state","Prison","Med/Min","A","M",NA,NA,3758,3838,10002345,"050000000071000000000","Current","HIFLD","HIFLD",35.32457413,-120.6989005,6079,93409,"SAN LUIS OBISPO","SAN LUIS OBISPO"
"132","CALIFORNIA MEDICAL FACILITY","California","state","Medical Facility",NA,"A","B",NA,NA,2512,2361,10000785,"050000000071100000000","Current","HIFLD","HIFLD",38.32851019,-121.9791645,6095,95696,"VACAVILLE","SOLANO"
"133","CALIFORNIA STATE PRISON CORCORAN","California","state","Prison","Max/Min","A","M",NA,NA,3043,3116,10000824,"050000000075500000000","Current","HIFLD","HIFLD",36.06081823,-119.549121,6031,93212,"CORCORAN","KINGS"
"134","CORRECTIONAL ALTERNATIVES INC RRC SAN DIEGO","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"058037666079995000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"135","CALIFORNIA REHABILITATION CENTER","California","state","Prison",NA,"A","M",NA,NA,3802,1962,10000856,"050000000070400000000","Current","HIFLD","HIFLD",33.92691794,-117.5759442,6065,92860,"NORCO","RIVERSIDE"
"136","RICHARD A MCGEE CORRECTIONAL TRAINING CENTER","California","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"137","CORRECTIONAL TRAINING FACILITY","California","state","Administrative",NA,NA,NA,NA,NA,5063,3312,10000817,"050000000070700000000","Current","HIFLD","HIFLD",36.46964789,-121.3822324,6053,93960,"SOLEDAD","MONTEREY"
"138","CHUCKAWALLA VALLEY STATE PRISON","California","state","Prison","Med","A","M",NA,NA,2773,1738,10002346,"050000000075800000000","Current","HIFLD","HIFLD",33.56257951,-114.9095058,6065,92225,"BLYTHE","RIVERSIDE"
"139","DUBLIN FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Min","A","F",NA,NA,1019,702,10005303,"056001666070200000000","Current","HIFLD","HIFLD",NA,NA,6001,94568,"DUBLIN","ALAMEDA"
"140","DEUEL VOCATIONAL INSTITUTION","California","state","Prison","Med/Min","A","M",NA,NA,2052,1681,10000794,"050000000070900000000","Current","HIFLD","HIFLD",37.74805759,-121.3306264,6077,95304,"TRACY","SAN JOAQUIN"
"141","FCC LOMPOC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,6083,NA,NA,NA
"142","FCC OAKDALE","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,6099,NA,NA,NA
"143","FRESNO COUNTY JAIL","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"144","FRESNO COUNTY JAIL RRC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"145","FOLSOM STATE PRISON","California","state","Prison","Med/Min","A","B",NA,NA,2871,2066,10000780,"050000000079992900000","Current","HIFLD","HIFLD",38.69538339,-121.1630324,6067,95671,"REPRESA","SACRAMENTO"
"146","GEO CARE EL MONTE","California","federal","Transitional Center",NA,"A",NA,"Different Operator","GeoGroup",NA,70,NA,NA,"Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"147","GEO CARE LLC RCC SACRAMENTO","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,38.5829489,-121.4974335,6067,95823,"SACRAMENTO",NA
"148","GEO REENTRY OF ALASKA INC RRC OAKLAND","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,2020,NA,NA,NA
"149","GEO TAYLOR ST FACILITY RRC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"150","HIGH DESERT STATE PRISON","California","state","Prison","Max","A","M",NA,NA,3161,2324,10002310,"050000000079992000000","Current","HIFLD","HIFLD",40.4034569,-120.5258579,6035,96127,"SUSANVILLE","LASSEN"
"151","HERLONG FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,"056018666071500000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"152","IRONWOOD STATE PRISON","California","state","Prison","Med/Min","A","M",NA,NA,2896,2200,10000861,"050000000079991100000","Current","HIFLD","HIFLD",33.56098104,-114.9260354,6065,92225,"BLYTHE","RIVERSIDE"
"153","JL SANTA RITA JAIL RRC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,6001,NA,NA,NA
"154","KERN VALLEY STATE PRISON","California","state","Prison","Max","A","M",NA,NA,3551,2448,10000844,"050000000071112000000","Current","HIFLD","HIFLD",35.76647437,-119.3253627,6029,93216,"DELANO","KERN"
"155","CALIFORNIA STATE PRISON LOS ANGELES","California","state","Prison","Max/Min","A","M",NA,NA,3218,2300,10002353,"050000000079990900000","Current","HIFLD","HIFLD",34.69359649,-118.2276136,6037,93536,"LANCASTER","LOS ANGELES"
"156","LOMPOC FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Min","A","M",NA,NA,1257,860,10000863,"056042666070100000000","Current","HIFLD","HIFLD",34.67675537,-120.4994621,6083,93436,"LOMPOC","SANTA BARBARA"
"157","LOMPOC UNITED STATES PENITENTIARY","California","federal","Prison","Med/Min","A","M",NA,NA,947,1009,10000864,"056042666071400000000","Current","HIFLD","HIFLD",34.67918746,-120.5054801,6083,93436,"LOMPOC","SANTA BARBARA"
"158","LOS ANGELES JAILS","California","county","Jail",NA,"B","B",NA,NA,NA,NA,NA,NA,"Current",NA,NA,34.0591,-118.2321,6037,NA,NA,NA
"159","LOS ANGELES MTROPOLITAN DETENTION CENTER","California","federal","Detention Center",NA,"A","B",NA,NA,713,735,10000892,NA,"Current","HIFLD","HIFLD",34.0536306,-118.238468,6037,90012,"LOS ANGELES","LOS ANGELES"
"160","MULE CREEK STATE PRISON","California","state","Prison",NA,"A","M",NA,NA,4007,3284,10000782,"050000000075000000000","Current","HIFLD","HIFLD",38.37074335,-120.9534458,6005,95640,"IONE","AMADOR"
"161","MENDOTA FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Med/Min","A","M",NA,NA,NA,1728,NA,"056010666070100000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"162","NORTHERN CALIFORNIA YOUTH CORRECTIONAL CENTER","California","state","Prison",NA,"J","M",NA,NA,216,210,10000796,NA,"Current","HIFLD","HIFLD",37.8911829,-121.1978213,6077,95215,"STOCKTON","SAN JOAQUIN"
"163","NORTH KERN STATE PRISON","California","state","Reception Center",NA,"A","M",NA,NA,4355,2694,10000841,"050000000079990800000","Current","HIFLD","HIFLD",35.78188512,-119.3098757,6029,93215,"DELANO","KERN"
"164","OH CLOSE YOUTH CORRECTIONAL FACILITY","California","state","Prison",NA,"J","M",NA,NA,169,192,10000793,NA,"Current","HIFLD","HIFLD",37.89852126,-121.1976947,6077,95213,"STOCKTON","SAN JOAQUIN"
"165","ORANGE COUNTY JAILS","California","county","Jail",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"166","PELICAN BAY STATE PRISON","California","state","Prison","Max","A","M",NA,NA,2648,2380,10002309,"050000000075900000000","Current","HIFLD","HIFLD",41.85480851,-124.1490751,6015,95531,"CRESCENT CITY","DEL NORTE"
"167","PINE GROVE JUVENILE PRISON CAMP","California","state","Work Camp",NA,"J","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"168","PLEASANT VALLEY STATE PRISON","California","state","Prison",NA,"A","M",NA,NA,3131,2308,10000810,"050000000079991200000","Current","HIFLD","HIFLD",36.13147309,-120.2488996,6019,93210,"COALINGA","FRESNO"
"169","RICHARD A MCGEE CORRECTIONAL TRAINING CENTER","California","state","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,38.2890255,-121.3279067,6067,95632,"GALT",NA
"170","RJ DONOVAN CORRECTIONAL FACILITY","California","state","Prison","Max/Med","A","M",NA,NA,3845,2992,10000869,NA,"Current","HIFLD","HIFLD",32.58456487,-116.9335763,6073,92179,"SAN DIEGO","SAN DIEGO"
"171","CALIFORNIA STATE PRISON SACRAMENTO","California","state","Prison","Max/Min","A","M",NA,NA,2354,1828,10002322,"050000000075600000000","Current","HIFLD","HIFLD",38.69444411,-121.1539037,6067,95671,"REPRESA","SACRAMENTO"
"172","SAN DIEGO METROPOLITAN CORRECTIONAL CENTER","California","federal","Prison","Max/Min","A","B",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"173","CALIFORNIA STATE PRISON CORCORAN","California","state","Prison","Max/Min","A","M",NA,NA,3043,3116,10000824,"050000000079992600000","Current","HIFLD","HIFLD",36.06081823,-119.549121,6031,93212,"CORCORAN","KINGS"
"174","SUBSTANCE ABUSE TREATMENT FACILITY","California","state","Prison",NA,"A","M",NA,NA,5291,NA,NA,NA,"Current","Public Records",NA,NA,NA,NA,NA,NA,NA
"175","SIERRA CONSERVATION CENTER","California","state","Prison",NA,"A","M",NA,NA,4393,3836,10001522,"050000000070800000000","Current","HIFLD","HIFLD",37.89168856,-120.5365401,6109,95327,"JAMESTOWN","TUOLUMNE"
"176","CALIFORNIA STATE PRISON SOLANO","California","state","Prison","Med","A","M",NA,NA,4306,2610,10002323,"050000000079991400000","Current","HIFLD","HIFLD",38.32077652,-121.9752369,6095,95687,"VACAVILLE","SOLANO"
"177","CALIFORNIA STATE PRISON SAN QUENTIN","California","state","Prison","Max/Min","A","M",NA,NA,4032,3082,10000790,"050000000070300000000","Current","HIFLD","HIFLD",37.94003982,-122.4903665,6041,94964,"SAN QUENTIN","MARIN"
"178","CALIFORNIA STATE PRISON CORCORAN","California","state","Prison","Max/Min","A","M",NA,NA,3043,3424,10000825,NA,"Current","HIFLD","HIFLD",NA,NA,6031,93212,"CORCORAN","KINGS"
"179","SALINAS VALLEY STATE PRISON","California","state","Prison","Max","A","M",NA,NA,2917,2452,10000821,"050000000079991900000","Current","HIFLD","HIFLD",36.47885699,-121.3743944,6053,93960,"SOLEDAD","MONTEREY"
"180","TERMINAL ISLAND FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Min","A","M",NA,NA,1185,781,10000887,"056019666071440000000","Current","HIFLD","HIFLD",33.726491,-118.2670631,6037,90731,"SAN PEDRO","LOS ANGELES"
"181","LOMPOC UNITED STATES PENITENTIARY","California","federal","Prison","Med/Min","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,6083,NA,NA,NA
"182","VENTURA","California","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"183","VICTORVILLE MEDIUM I FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Med/Min","A","F",NA,NA,NA,NA,NA,"056036666073100000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"184","VICTORVILLE MEDIUM II FEDERAL CORRECTIONAL INSTITUTION","California","federal","Prison","Med/Min","A","F",NA,NA,1216,1152,10000831,"056036666073200000000","Current","HIFLD","HIFLD",34.56848411,-117.3583145,6071,92394,"VICTORVILLE","SAN BERNARDINO"
"185","VICTORVILLE UNITED STATES PENITENTIARY","California","federal","Prison","Max/Min","A","M",NA,NA,NA,NA,NA,"056036666073400000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"186","VINEWOOD RE ENTRY CCC","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"058019666071450000000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"187","VALLEY STATE PRISON","California","state","Prison","Med","A","M",NA,NA,2999,1980,10000802,"050000000079991300000","Current","HIFLD","HIFLD",37.10547736,-120.1554719,6039,93610,"CHOWCHILLA","MADERA"
"188","WESTERN REGIONAL OFFICE","California","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"189","WORKING ALTERNATIVES RRC GARDEN GROVE","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"058030666079995200000","Previous",NA,NA,NA,NA,NA,NA,NA,NA
"190","WASCO STATE PRISON","California","state","Prison","Med","A","M",NA,NA,4588,2984,10000847,"050000000079990500000","Current","HIFLD","HIFLD",35.59431189,-119.4083319,6029,93280,"WASCO","KERN"
"191","ARKANSAS VALLEY CORRECTIONAL FACILITY","Colorado","state","Prison","Max/Min","A","M",NA,NA,1065,1007,10002228,"060000000071600000000","Current","HIFLD","HIFLD",38.19146827,-103.8421854,8025,81034,"ORDWAY","CROWLEY"
"192","ARROWHEAD CORRECTIONAL FACILITY","Colorado","state","Prison","Min","A","M",NA,NA,528,520,10002225,"060000000071800000000","Current","HIFLD","HIFLD",38.43610328,-105.1590956,8043,81212,"CANON CITY","FREMONT"
"193","BENT COUNTY CORRECTIONAL FACILITY","Colorado","state","Prison","Med","A","M","Different Operator","CoreCivic",1400,1420,10002233,"068000000072200000000","Current","HIFLD","HIFLD",38.06456309,-103.2047922,8011,81054,"LAS ANIMAS","BENT"
"194","BUENA VISTA CORRECTIONAL COMPLEX","Colorado","state","Prison","Max/Med","A","M",NA,NA,1212,1259,10000573,"060000000070100000000","Current","HIFLD","HIFLD",38.82210118,-106.1147135,8015,81211,"BUENA VISTA","CHAFFEE"
"195","CENTENNIAL CORRECTIONAL FACILITY","Colorado","state","Prison","Max","A","M",NA,NA,306,604,10002226,"060000000071200000000","Current","HIFLD","HIFLD",NA,NA,8043,81215,"CANON CITY","FREMONT"
"196","COLORADO CORRECTIONAL CENTER","Colorado","state","Work Camp","Min","A","M",NA,NA,125,150,10000563,"060000000070500000000","Current","HIFLD","HIFLD",39.73493736,-105.171343,8059,80401,"GOLDEN","JEFFERSON"
"197","COLORADO STATE PENITENTIARY","Colorado","state","Prison","Max","A","M",NA,NA,700,756,10002227,"060000000072300000000","Current","HIFLD","HIFLD",NA,NA,8043,81215,"CANON CITY","FREMONT"
"198","COLORADO TERRITORIAL CORRECTIONAL FACILITY","Colorado","state","Prison","Med","A","M",NA,NA,951,900,10000578,"060000000070200000000","Current","HIFLD","HIFLD",38.43802317,-105.2486951,8043,81215,"CANON CITY","FREMONT"
"199","CROWLEY COUNTY CORRECTIONAL FACILITY","Colorado","state","Prison","Med","A","M","Different Operator","CoreCivic",1826,1894,10000585,"068000000073100000000","Current","HIFLD","HIFLD",38.15673868,-103.9573023,8025,81062,"OLNEY SPRINGS","CROWLEY"
"200","DELTA CORRECTIONAL FACILITY","Colorado","state","Prison","Min","A","M",NA,NA,703,500,10000569,"060000000070600000000","Current","HIFLD","HIFLD",38.70911617,-108.1486112,8029,81416,"DELTA","DELTA"
"201","DENVER RECEPTION DIAGNOSTIC CENTER","Colorado","state","Reception Center",NA,"A","M",NA,NA,584,575,10000560,"060000000071900000000","Current","HIFLD","HIFLD",NA,NA,8031,80239,"DENVER","DENVER"
"202","DENVER WOMENS CORRECTIONAL FACILITY","Colorado","state","Prison","Max/Min","A","M",NA,NA,921,975,10000561,"060000000073300000000","Current","HIFLD","HIFLD",39.76510225,-104.860784,8031,80239,"DENVER","DENVER"
"203","ENGLEWOOD FEDERAL CORRECTIONAL INSTITUTION","Colorado","federal","Prison","Min","A","M",NA,NA,637,393,10004659,"066003666070100000000","Current","HIFLD","HIFLD",39.64192027,-105.1055266,8059,80123,"LITTLETON","JEFFERSON"
"204","FLORENCE ADMAX UNITED STATES PENITENTIARY","Colorado","federal","Prison","Max","A","M",NA,NA,NA,NA,NA,"066022666070500000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"205","FLORENCE FEDERAL CORRECTIONAL INSTITUTION","Colorado","federal","Prison","Med","A","M",NA,NA,NA,NA,NA,"066022666070300000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"206","FLORENCE HIGH UNITED STATES PENITENTIARY","Colorado","federal","Prison","Max","A","M",NA,NA,NA,NA,NA,"066022666070400000000","Current",NA,NA,NA,NA,NA,NA,NA,NA
"207","FOUR MILE CORRECTIONAL FACILITY","Colorado","state","Prison","Med/Min","A","M",NA,NA,519,525,10000577,"060000000071700000000","Current","HIFLD","HIFLD",38.42976983,-105.1478509,8043,81212,"CANON CITY","FREMONT"
"208","FREMONT CORRECTIONAL FACILITY","Colorado","state","Prison","Med/Min","A","M",NA,NA,1622,1661,10000576,"060000000070300000000","Current","HIFLD","HIFLD",NA,NA,8043,81215,"CANON CITY","FREMONT"
"209","LA VISTA CORRECTIONAL FACILITY","Colorado","state","Prison","Med/Min","B","M",NA,NA,694,564,10000586,"060000000078600000000","Current","HIFLD","HIFLD",38.28484966,-104.6281974,8101,81003,"PUEBLO","PUEBLO"
"210","LIMON CORRECTIONAL FACILITY","Colorado","state","Prison","Max/Min","A","M",NA,NA,926,960,10000567,"060000000072000000000","Current","HIFLD","HIFLD",39.21808522,-103.6916854,8073,80826,"LIMON","LINCOLN"
"211","LIMON CORRECTIONAL FACILITY","Colorado","state","Prison","Max/Min","A","M",NA,NA,926,960,NA,NA,"Current","Public Records","Public Records",NA,NA,NA,NA,NA,NA
"212","RIFLE CORRECTIONAL CENTER","Colorado","state","Prison","Min","A","M",NA,NA,189,200,10000557,"060000000070700000000","Current","HIFLD","HIFLD",39.65016626,-107.7790488,8045,81650,"RIFLE","GARFIELD"
"213","SAN CARLOS CORRECTIONAL FACILITY","Colorado","state","Prison","Max/Min","A","M",NA,NA,216,250,10000587,"060000000072400000000","Current","HIFLD","HIFLD",NA,NA,8101,81003,"PUEBLO","PUEBLO"
"214","SKYLINE CORRECTIONAL CENTER","Colorado","state","Prison","Min","A","M",NA,NA,NA,249,NA,"060000000071500000000","Current",NA,"Public Records",NA,NA,NA,NA,NA,NA
"215","SKYLINE CORRECTIONAL CENTER","Colorado","state","Prison","Min","A","M",NA,NA,250,249,10000575,NA,"Current","HIFLD","HIFLD",38.43013737,-105.1590536,8043,81212,"CANON CITY","FREMONT"
"216","STATEWIDE","Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"217","STERLING CORRECTIONAL FACILITY","Colorado","state","Prison","Max","A","M",NA,NA,2504,2585,10000554,"060000000073400000000","Current","HIFLD","HIFLD",40.61123458,-103.1621015,8075,80751,"STERLING","LOGAN"
"218","TRINIDAD CORRECTIONAL FACILITY","Colorado","state","Prison","Min","A","M",NA,NA,502,500,10000593,"060000000078500000000","Current","HIFLD","HIFLD",37.30034613,-104.2866571,8071,81059,"MODEL","LAS ANIMAS"
"219","YOUTHFUL OFFENDER SYSTEM","Colorado","state","Geographic",NA,"J","B",NA,NA,15,250,10000588,"060000000077200000000","Current","HIFLD","HIFLD",NA,NA,8101,81003,"PUEBLO","PUEBLO"
"220","BRIDGEPORT CORRECTIONAL CENTER","Connecticut","state","Prison","Max","A","M",NA,NA,689,816,10002400,"070000000070100000000","Current","HIFLD","HIFLD",41.1906143,-73.20106036,9001,6604,"BRIDGEPORT","FAIRFIELD"
"221","BROOKLYN CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Med/Min","A","M",NA,NA,428,500,10002399,"070000000070200000000","Current","HIFLD","HIFLD",41.78416388,-71.95426216,9015,6234,"BROOKLYN","WINDHAM"
"222","CARL ROBINSON CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Med","A","M",NA,NA,1317,1473,10001605,NA,"Current","HIFLD","Public Records",42.0156533,-72.515607,9003,6082,"ENFIELD","HARTFORD"
"223","CHESHIRE CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max","A","M",NA,NA,1147,NA,10000937,"070000000071200000000","Current","HIFLD",NA,41.52149124,-72.9017651,9009,6410,"CHESHIRE","NEW HAVEN"
"224","COMMUNITY SOLUTIONS INC RRC HARTFORD","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,41.7658043,-72.6733723,9003,6105,"HARTFORD",NA
"225","CORRIGAN RADGOWSKI CORRECTIONAL CENTER","Connecticut","state","Prison","Max/Mid","A","M",NA,NA,734,NA,10000931,"070000000072900000000","Current","HIFLD",NA,41.45418432,-72.11217243,9011,6382,"UNCASVILLE","NEW LONDON"
"226","DANBURY FEDERAL CORRECTIONAL INSTITUTION","Connecticut","federal","Prison","Min","A","M",NA,NA,815,554,10000935,"076001666070780000000","Current","HIFLD","HIFLD",41.4367642,-73.4675543,9001,6811,"DANBURY","FAIRFIELD"
"227","DISCHARGED","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"228","DANBURY FEDERAL CORRECTIONAL INSTITUTION","Connecticut","federal","Prison","Min","A","M",NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,9001,NA,NA,NA
"229","GARNER CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max","A","M",NA,NA,543,NA,10000934,"070000000072700000000","Current","HIFLD",NA,41.40035888,-73.2721123,9001,6470,"NEWTOWN","FAIRFIELD"
"230","HARTFORD CORRECTIONAL CENTER","Connecticut","state","Prison","Max","A","M",NA,NA,888,984,10000926,"070000000070300000000","Current","HIFLD","Public Records",41.79362408,-72.66139948,9003,6120,"HARTFORD","HARTFORD"
"231","HOSPITAL CT","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"232","NORTHERN CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max","A","M",NA,NA,78,NA,NA,NA,"Current","Public Records",NA,NA,NA,9013,NA,NA,NA
"233","MACDOUGALL WALKER CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max","A","M",NA,NA,1471,2049,NA,"070000000072500000000","Current","Public Records","Public Records",NA,NA,NA,NA,NA,NA
"234","MANSON YOUTH CORRECTIONAL CENTER","Connecticut","state","Prison",NA,"J","M",NA,NA,283,679,10000939,NA,"Current","HIFLD","Public Records",41.53050021,-72.89979775,9009,6410,"CHESHIRE","NEW HAVEN"
"235","MACDOUGALL WALKER CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max","A","M",NA,NA,1471,2049,10000927,NA,"Current","HIFLD","HIFLD",41.95048033,-72.6367468,9003,6080,"SUFFIELD","HARTFORD"
"236","NEW HAVEN CORRECTIONAL CENTER","Connecticut","state","Prison","Max","A","M",NA,NA,683,NA,10005380,"070000000070500000000","Current","HIFLD",NA,41.31748057,-72.93997131,9009,6511,"NEW HAVEN","NEW HAVEN"
"237","NORTHERN CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max","A","M",NA,NA,78,NA,10000929,"070000000072800000000","Current","HIFLD",NA,42.0188064,-72.4948806,9013,6071,"SOMERS","TOLLAND"
"238","NORTHERN CI INFIRMIRY","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"239","OSBORN CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Med","A","M",NA,NA,1253,1900,10000928,"070000000070900000000","Current","HIFLD","Public Records",42.01640023,-72.49693453,9013,6071,"SOMERS","TOLLAND"
"240","STATEWIDE","Connecticut","state","Geographic",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"241","WATKINSON HOUSE RRC HARTFORD","Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"078002666076500000000","Previous",NA,NA,NA,NA,9003,NA,NA,NA
"242","WILLARD CYBULSKI CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Min","A","M",NA,NA,1090,NA,10006149,"070000000072400000000","Current","HIFLD",NA,42.0167978,-72.5062987,9003,6082,"ENFIELD","TOLLAND"
"243","YORK CORRECTIONAL INSTITUTION","Connecticut","state","Prison","Max/Min","A","M",NA,NA,883,1151,10000933,"070000000073000000000","Current","HIFLD","Public Records",41.32308179,-72.23754189,9011,6357,"NIANTIC","NEW LONDON"
"244","CENTRAL OFFICE HEADQUARTERS","District of Columbia","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"245","CENTRAL OFFICE HEADQUARTERS","District of Columbia","federal","Administrative",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Current",NA,NA,NA,NA,NA,NA,NA,NA
"246","DELORES J BAYLOR WOMANS CORRECTIONAL INSTITUTION","Delaware","state","Prison","Max/Min","A","M",NA,NA,394,320,10002260,"080000000070300000000","Current","HIFLD","HIFLD",39.7039322,-75.58125772,10003,19720,"NEW CASTLE","NEW CASTLE"
"247","DOVER PROBATION AND PAROLE","Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"248","GEORGETOWN ADMINISTRATIVE SERVICES","Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"249","GEORGETOWN PROBATION AND PAROLE","Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
